Country,ISO_code,Vaccine,benefit_risk_ratio,benefit_risk_ratio_low,benefit_risk_ratio_high,child_benefit_risk_ratio,child_benefit_risk_ratio_low,child_benefit_risk_ratio_high,sibling_benefit_risk_ratio,sibling_benefit_risk_ratio_low,sibling_benefit_risk_ratio_high,parent_benefit_risk_ratio,parent_benefit_risk_ratio_low,parent_benefit_risk_ratio_high,grandparent_benefit_risk_ratio,grandparent_benefit_risk_ratio_low,grandparent_benefit_risk_ratio_high,vac_deaths_averted,vac_deaths_averted_low,vac_deaths_averted_high,covid_deaths,covid_deaths_low,covid_deaths_high,child_covid_deaths,child_covid_deaths_low,child_covid_deaths_high,sibling_covid_deaths,sibling_covid_deaths_low,sibling_covid_deaths_high,parent_covid_deaths,parent_covid_deaths_low,parent_covid_deaths_high,grandparent_covid_deaths,grandparent_covid_deaths_low,grandparent_covid_deaths_high
Central African Republic,CAF,"MCV1, RCV1, MenA, YFV",224.51688902698,52.5456737182109,807.243437042988,69851.8335474517,3917.24409552432,12279966.6414117,54210.2408516655,3040.07404113281,9530171.4425166,2581.2776440358,489.036535996859,16169.5268120714,256.512676576776,60.8694274194896,914.715766586924,1860.24643539777,1235.71643704492,2833.70341447737,4.20487812393286,1.18295256257601,14.9923036771157,0.0132237606100422,7.40342441629451e-05,0.242498284238287,0.0170392883427973,9.53957705930863e-05,0.312467709422379,0.370453274282043,0.0702907939634625,1.73147082199083,3.6702174196395,1.06340982136172,13.3887506127577
Côte d’Ivoire,CIV,"MCV1, RCV1, MenA, YFV",246.925082205506,64.2872894532377,1015.35903854336,103234.344583561,5912.73226533422,23460286.7830026,87364.5894164089,5003.79431645403,19853841.5742954,3734.50667375606,770.625962582635,23714.9228787375,272.284781566968,70.1716014793667,1129.94488503448,19778.9885930706,12297.1638979721,35127.5452450695,40.1520016244271,11.439560766185,143.997928329505,0.0939467278354655,0.000525968005016569,1.72280193068535,0.11101212675124,0.000621509957667244,2.03574845769481,2.63184384238645,0.499373081875769,12.301040745179,36.1967969688631,10.4876700744083,132.043917889838
Cameroon,CMR,"MCV1, RCV1, MenA, YFV",122.302296956868,29.3965309041737,1420.68771116336,64154.5944972966,2870.1702128679,23432584.6381915,49838.7363866457,2229.70245147374,18203690.9093051,2087.79687234521,368.453081766014,27210.1332679898,134.794535685141,31.0105429466933,1466.28643991644,8574.22120898303,5165.61900685454,83364.7198344856,35.7420692402883,10.2122990260914,128.556176860439,0.0757649516167276,0.000424175927892015,1.38938319546565,0.0975279491512324,0.000546017748891371,1.7884746277464,2.12249565232773,0.40272799552185,9.92038550321973,32.5419516355899,9.42871416564837,118.711243799865
Congo - Kinshasa,COD,"MCV1, RCV1, MenA, YFV",193.018983310914,52.3322622722244,698.859100835048,59990.6632023059,3102.28274925216,11374478.9479006,44774.9090176782,2315.43410974558,8489508.74735739,2172.17397776215,461.855077334984,12133.3134729433,219.737352417113,58.0663607672845,805.263300243265,45243.7690753609,34084.5383382006,60202.234925524,117.568521162492,33.0929476432864,419.165847641465,0.36840533158794,0.00206254567622766,6.75584377612437,0.493599666735223,0.00276345582194467,9.05166660329458,10.3205862064738,1.95825559924487,48.2376459405929,102.651395059633,29.7422439059802,374.466624552201
Congo - Brazzaville,COG,"MCV1, RCV1, MenA, YFV",414.902683927861,101.915925043925,1633.02537478388,108520.162966042,5739.78903258955,20203892.5796059,110285.556201386,5833.16324484171,20532567.1255407,3905.48463127333,758.377547811744,22943.2844355909,473.356351989104,117.632222348367,1871.96888264448,3664.26744976153,2525.88592024137,5430.93683770227,4.48443010482911,1.24002432066988,16.2365884598998,0.0165881844510009,9.28702306462463e-05,0.304195333431939,0.0163226495103877,9.1383612791699e-05,0.299325934370442,0.464704967481117,0.0881743620334255,2.17199616763316,3.82108804939487,1.10712311981058,13.9391183445916
Comoros,COM,"MCV1, RCV1, MenA, YFV",110.967872072111,28.8190672651102,430.336863695046,62577.0716381348,3518.06542988824,11765292.869514,53796.4485464592,3024.42126049766,10114422.9974342,2259.79289525876,457.496177349629,14138.159764911,117.843818335959,30.3253393595253,459.600808577407,351.97199578082,222.130131444164,532.146969305741,1.57852061024563,0.454655652070745,5.71997808085618,0.00271864965856105,1.52205698931488e-05,0.0498547952498025,0.00316238597601556,1.77048619065301e-05,0.0579920641258905,0.0761608363414318,0.0144509605583477,0.355970037406687,1.46709487357085,0.425076478869177,5.35188113989846
Cape Verde,CPV,"MCV1, RCV1, MenA, YFV",107.424875278805,24.1134644007413,1261.57128041809,48728.7978917703,2328.79632255283,9497133.66854303,41659.7571394676,1990.96003641044,8119393.44433086,1677.65952313496,296.517481091813,24175.8652722492,119.248960828491,25.8780773975899,1349.43507336079,101.25472960756,57.3514705913127,1258.61940588513,0.508196660063361,0.144791251105297,1.82260911342653,0.001189842294887,6.66142389995837e-06,0.0218194145775089,0.00139174082356088,7.7917683918747e-06,0.0255218444866279,0.0333324979949666,0.00632459722050645,0.155793595870372,0.458130231641123,0.132738781409234,1.67123380396641
Djibouti,DJI,"MCV1, RCV1, MenA, YFV",82.7724980023051,21.5987480849822,295.588427292086,33519.9269664527,1922.22937351421,6533254.8911389,28657.2227752606,1643.37337122115,5585481.76582563,1257.61324006314,239.954785603317,7860.42597458325,92.4101672849774,23.9485207622501,330.872613347694,136.971518249817,94.549573280205,202.622312902336,0.831213455533204,0.236822564215995,2.98108456491762,0.00194612244273561,1.08955166646816e-05,0.0356881349563012,0.0022763504565623,1.27443236815391e-05,0.0417438803015079,0.0545190927396008,0.0103445983093581,0.254818150826119,0.749324115745207,0.217109378807566,2.73349302418797
Algeria,DZA,"MCV1, RCV1, MenA, YFV",137.41918210603,31.5038143635247,570.948661476642,59508.8084906449,3299.36408239989,11169717.7088344,50875.9217677735,2820.72844671335,9549337.29537043,2113.96617546567,337.637387770882,13042.6196956972,147.985430468874,34.3088536259982,606.73985884506,11221.8909940547,5319.89318957972,23824.1078191912,41.4111299558437,11.7985216889129,148.517904162142,0.0969559971023457,0.000542815631212031,1.77798612945823,0.11340798678635,0.000634923364946021,2.07968391334333,2.71614615895028,0.515368828642255,12.6950634505779,37.3313955995421,10.8164089988958,136.182871083851
Egypt,EGY,"MCV1, RCV1, MenA, YFV",28.8403621496093,2.40748950059361,322.864059472531,7407.46102621084,233.083853267398,2711369.75114836,10174.0669573839,320.138131194544,3724036.79166165,254.81060487469,18.4510280436013,3826.482972734,33.7260224318045,2.86189421849582,386.644535981379,3969.63273366315,482.889974184553,34646.0160345313,68.3351648966702,18.7864795492606,246.617583251278,0.26227880720164,0.00146838814038923,4.80968785007815,0.190958055464456,0.0010690934084515,3.50180271536709,7.34753492352626,1.39414090602887,34.3418272069543,57.9003991707184,16.7760778447162,211.217461049491
Eritrea,ERI,"MCV1, RCV1, MenA, YFV",172.073594571965,41.070537350368,703.958025651174,71079.7896093085,3686.0428032194,15407407.4488579,60768.311568555,3151.31205019397,13172269.3815242,2660.69336532469,441.652642333951,16574.034986926,185.000945509154,44.9345958465619,775.413274401856,1750.72773687863,860.114426004725,3179.03009675534,5.09321765420963,1.45111806955334,18.2664421920246,0.011924765072813,6.67617174131209e-05,0.218677209560629,0.0139482202259274,7.80901872240973e-05,0.255783477386647,0.334062933876237,0.0633859935546063,1.56138510001393,4.59144494068654,1.33032654088575,16.7493377733187
Ethiopia,ETH,"MCV1, RCV1, MenA, YFV",105.922786624013,27.2774960000225,444.846148040875,50208.3425633864,2864.27864709833,10190867.0513457,49577.1530913468,2828.27063658188,10062753.5214947,1794.95109944613,353.425090706424,10819.4102561009,116.661204655897,28.3107930892481,488.736963062659,37536.518288138,24202.7249186601,59357.5928175714,174.375830137464,49.9292415616727,628.774222137289,0.366939564958647,0.00205433946865033,6.72896444102607,0.371611240838259,0.00208049420654378,6.81463397322123,10.279523904821,1.95046432842741,48.0457238221192,159.270871652189,46.147186884753,581.011350721876
Gabon,GAB,"MCV1, RCV1, MenA, YFV",230.769094180261,55.6487657375926,988.031432579517,80490.6700057619,3983.67636482211,17752725.3866731,74166.0688029084,3670.65667785803,16357794.6658027,2799.22838331636,567.7010352743,16798.4288110622,262.51071631709,64.8417653467871,1136.17622752712,749.204627004767,420.863607413675,1388.28418192,1.56799908747551,0.442230526939517,5.59778134313239,0.00467550394447091,2.61761696099448e-05,0.0857397315270906,0.00507421319721193,2.84083741270954e-05,0.0930512908142576,0.130980573244234,0.0248526038944312,0.612193376504914,1.37798178359586,0.39925682726374,5.02680150520898
Ghana,GHA,"MCV1, RCV1, MenA, YFV",252.021560842547,64.8764147789181,966.979995423268,99894.1859528364,5307.60377462509,18220073.8390326,119177.658033617,6332.17821034002,21737258.3661745,3704.9350872347,657.663976254317,20694.9082388921,280.403176851228,70.377563679255,1056.62059671722,18623.6001937214,11319.8016981853,30478.824281561,36.8493152934886,10.4963587715989,132.618329915991,0.0930903173962237,0.000521173325089108,1.70709701373743,0.0780278923903996,0.000436845176429158,1.43088116802662,2.60785217611978,0.494820839022312,12.1889054962945,33.0480224947894,9.5753432778906,120.55736236765
