Continent,ISO_code,Country,WHO_Region,pop_year,age,gender,population,Vaccine,vac_year,Percent_covrage,vac_population,deaths_averted_1000FVP,mid,low,high,vac_deaths_averted,hh_size,under_20_in_hh_at_least_one_under_20,percent_hh_at_least_one_under_20,percent_hh_under_20_and_over_60,suspension_period,child_covid_deaths,child_covid_deaths_low,child_covid_deaths_high,sibling_covid_deaths,sibling_covid_deaths_low,sibling_covid_deaths_high,parent_covid_deaths,parent_covid_deaths_low,parent_covid_deaths_high,grandparent_covid_deaths,grandparent_covid_deaths_low,grandparent_covid_deaths_high,covid_deaths,covid_deaths_low,covid_deaths_high,benefit_risk_ratio,child_benefit_risk_ratio,sibling_benefit_risk_ratio,parent_benefit_risk_ratio,grandparent_benefit_risk_ratio
Africa,ERI,Eritrea,AFR,2020,0,both,106922,MCV1,2018,93,99437.46,19 (6.5-26),18.2164948453608,6.2319587628866,24.9278350515464,1811.40197752577,4.95352108561478,3.33937023341913,79.7291064346911,17.9806643079064,0.5,0.00631643802788431,0.00259354677371558,0.0278227763783509,0.0073882435518346,0.00303363306070523,0.0325438874352956,0.244761973580517,0.100499937481479,1.0781325846611,3.38317676679999,1.38914165700801,14.9022867343222,3.64164342196022,1.49526877432391,16.0407859827969,248.706664496923,143387.932370208,122586.780255503,3700.33373858602,267.707261899754
Africa,ERI,Eritrea,AFR,2020,1,both,101411,MCV2,2018,85,86199.35,,0.783505154639175,0.268041237113402,1.07216494845361,67.5376350515464,4.95352108561478,3.33937023341913,79.7291064346911,17.9806643079064,0.5,0.00547553057287374,0.00224826786694753,0.0241187298932334,0.00640464661717861,0.00262976546234489,0.0282113193900532,0.212176809698857,0.0871203798442168,0.934600783362796,2.9327744115071,1.20420521493624,12.9183451589793,3.15683139839601,1.29620362810975,13.9052759916253,10.6970608385773,6167.22289764337,5272.54968840875,159.154139294022,11.514290834398
Africa,ERI,Eritrea,AFR,2020,0,both,106922,PCV3,2018,95,101575.9,1.7 (0.73-3),1.7,0.73,3,172.67903,4.95352108561478,3.33937023341913,79.7291064346911,17.9806643079064,0.5,0.0189751253170411,0.00788165798361016,0.0778474093205086,0.0221949216710418,0.00921905803842392,0.0910569560565964,0.735286106035342,0.305414246864894,3.01658711116971,10.1633551752322,4.22153151131999,41.6962131831332,10.9398113282556,4.54404647420692,44.88170465968,7.89223071672177,4550.1420179007,3890.05720676406,117.423019816792,8.49517836495636
Africa,ERI,Eritrea,AFR,2020,0,both,106922,RCV1,2018,93,99437.46,0.16 (-0.18-1.1),0.16,0.18,1.1,15.9099936,4.95352108561478,3.33937023341913,79.7291064346911,17.9806643079064,0.5,0.00631643802788431,0.00259354677371558,0.0278227763783509,0.0073882435518346,0.00303363306070523,0.0325438874352956,0.244761973580517,0.100499937481479,1.0781325846611,3.38317676679999,1.38914165700801,14.9022867343222,3.64164342196022,1.49526877432391,16.0407859827969,2.1844524238779,1259.41183383454,1076.7101468961,32.5009505505688,2.35133939144549
Africa,ERI,Eritrea,AFR,2020,0,both,106922,RotaC,2018,96,102645.12,0.62 (0.26-1.2),0.62,0.26,1.2,63.6399744,4.95352108561478,3.33937023341913,79.7291064346911,17.9806643079064,0.5,0.0129109588387461,0.00533168490184402,0.0548760155291565,0.0151017563961311,0.00623639247667205,0.0641876586287773,0.500299655001412,0.206602789946456,2.12644560175481,6.91529874709899,2.85572856223507,29.3923980530183,7.44361111733528,3.07389942956004,31.637907328931,4.27480515819735,2464.57196536848,2107.03883477764,63.6018571707994,4.60139010094809
Africa,ETH,Ethiopia,AFR,2020,0,both,3477059,HepB3,2018,95,3303206.05,7 (1.6-14),7,1.6,14,23122.44235,4.61457783976785,3.02546291719803,84.9126915076428,21.5875675515367,0.5,0.617063188677218,0.256308241772821,2.53156539537755,0.624919303116838,0.259571419541538,2.5637959153995,23.9111985612422,9.93194436869681,98.0981590708801,372.584132624634,154.759489299928,1528.56484445497,397.73731367767,165.207313329939,1631.75836483663,29.067479407701,18735.8788972382,18500.3425519702,483.506552186792,31.0298269911766
Africa,ETH,Ethiopia,AFR,2020,0,both,3477059,Hib3,2018,95,3303206.05,3.2 (0.67-5.7),3.2,0.67,5.7,10570.25936,4.61457783976785,3.02546291719803,84.9126915076428,21.5875675515367,0.5,0.617063188677218,0.256308241772821,2.53156539537755,0.624919303116838,0.259571419541538,2.5637959153995,23.9111985612422,9.93194436869681,98.0981590708801,372.584132624634,154.759489299928,1528.56484445497,397.73731367767,165.207313329939,1631.75836483663,13.2879905863776,8564.97321016603,8457.29945232923,221.031566713962,14.185063767395
Africa,ETH,Ethiopia,AFR,2020,14,female,1334518,HPVfem,2018,95,1267792.1,14 (10-18),14,10,18,17749.0894,4.61457783976785,3.02546291719803,84.9126915076428,21.5875675515367,0.5,0.159466047866547,0.0658527945434437,0.677785548571056,0.161496283252909,0.066691196670803,0.686414747221699,6.17930935482871,2.55179578855844,26.2641900071284,96.2859561511054,39.7620645439468,409.248429259254,102.786227837054,42.4464043237195,436.876819562176,86.3398228220688,55651.6250244494,54952.0058372003,1436.17096837289,92.1686303459751
Africa,ETH,Ethiopia,AFR,2020,0,both,3477059,MCV1,2018,88,3059811.92,13 (7-19),12.4639175257732,6.71134020618557,18.2164948453608,38137.2434152577,4.61457783976785,3.02546291719803,84.9126915076428,21.5875675515367,0.5,0.194364501764845,0.0798065973657461,0.856140762344217,0.196839045372182,0.0808226517560363,0.867040683014932,7.53162444338774,3.09250564792266,33.1754545408384,117.357720622279,48.1874018785358,516.939706007113,125.280548612804,51.4405367755803,551.838341993311,152.2073611488,98107.532674353,96874.1830238712,2531.80729482201,162.482890827456
Africa,ETH,Ethiopia,AFR,2020,0,both,3477059,PCV3,2018,94,3268435.46,2.8 (0.8-6),2.8,0.8,6,9151.619288,4.61457783976785,3.02546291719803,84.9126915076428,21.5875675515367,0.5,0.610567786691142,0.253610260280475,2.5049173385841,0.618341205189293,0.256839088809522,2.53680858997424,23.6595017342818,9.82739758586842,97.065546870134,368.66219438648,153.130442044139,1512.47468819755,393.550605112642,163.468288979098,1614.58196099625,11.6269917630804,7494.35155889527,7400.13702078807,193.402620874717,12.4119307964707
Africa,ETH,Ethiopia,AFR,2020,0,both,3477059,RotaC,2018,93,3233664.87,0.61 (0.32-0.91),0.61,0.32,0.91,1972.5355707,4.61457783976785,3.02546291719803,84.9126915076428,21.5875675515367,0.5,0.406738421026439,0.167965921468087,1.72877817885748,0.411916794394366,0.170104372643304,1.75078804666849,15.7611138147745,6.50867945688838,66.9901544307274,245.589567784962,101.418198831207,1043.84012867593,262.169336815158,108.264948582207,1114.30984933219,3.76194942296157,2424.82080463673,2394.3373971923,62.5760207648187,4.01591889364606
Africa,GAB,Gabon,AFR,2020,0,both,66081,HepB3,2018,70,46256.7,,12.7488888888889,3.79543727942043,30.0965366843507,589.721528666667,4.09759781345222,3.17055241850989,63.5315970345867,10.9671582119779,0.5,0.00864109182643495,0.00358923217860201,0.0354509707392794,0.00937797138121721,0.00389530829292906,0.0384740951383331,0.334842308274354,0.139082746920828,1.37372511614708,3.54271788872597,1.47153129504126,14.534365648856,3.89557926020798,1.61809858243362,15.9820158308807,75.6911218172958,34123.091185224,31441.8494519933,880.595901554167,83.2301000516219
Africa,GAB,Gabon,AFR,2020,0,both,66081,Hib3,2018,70,46256.7,,3.01044444444444,1.3016911127032,4.54164838947957,139.253225533333,4.09759781345222,3.17055241850989,63.5315970345867,10.9671582119779,0.5,0.00864109182643495,0.00358923217860201,0.0354509707392794,0.00937797138121721,0.00389530829292906,0.0384740951383331,0.334842308274354,0.139082746920828,1.37372511614708,3.54271788872597,1.47153129504126,14.534365648856,3.89557926020798,1.61809858243362,15.9820158308807,17.8732373585307,8057.61750542494,7424.48552424879,207.938516269031,19.653445448829
Africa,GAB,Gabon,AFR,2020,0,both,66081,MCV1,2018,59,38987.79,,13.9804673539519,5.00610730669321,21.3149912597005,545.067525297732,4.09759781345222,3.17055241850989,63.5315970345867,10.9671582119779,0.5,0.00247657129797128,0.00101688696562443,0.0109088522842006,0.00268776391021187,0.00110360323129365,0.0118391178543194,0.0959671377963872,0.0394043699179467,0.422718026012774,1.01535704240375,0.416908385686747,4.47246562228135,1.11648851540832,0.458433245801612,4.91793161843265,244.099029132598,110044.787675653,101397.954490498,2839.86548840395,268.411751991864
Africa,GAB,Gabon,AFR,2020,0,both,66081,YFV,2018,59,38987.79,,31.4857142857143,10.3777621231544,66.6749959254387,1227.55841657143,4.09759781345222,3.17055241850989,63.5315970345867,10.9671582119779,0.5,0.00247657129797128,0.00101688696562443,0.0109088522842006,0.00268776391021187,0.00110360323129365,0.0118391178543194,0.0959671377963872,0.0394043699179467,0.422718026012774,1.01535704240375,0.416908385686747,4.47246562228135,1.11648851540832,0.458433245801612,4.91793161843265,549.740727123598,247834.257301011,228360.536412341,6395.72276905835,604.495938524896
Africa,GHA,Ghana,AFR,2020,0,both,843756,HepB3,2018,97,818443.32,11 (4.4-28),11,4.4,28,9002.87652,3.49288612007447,2.67639115587686,64.8471558108404,13.4840758430005,0.5,0.152891232683099,0.0635061104770955,0.627252056222746,0.128152755140529,0.0532305409739708,0.525759899778693,5.92453526647007,2.46086178098745,24.3060171786314,75.5051283236041,31.3624067041494,309.76757898544,81.7107075778978,33.9400051365879,335.226608120072,55.0899434533548,29442.0954099457,35125.5675702317,759.796010579245,59.6176492900917
Africa,GHA,Ghana,AFR,2020,0,both,843756,Hib3,2018,97,818443.32,1.2 (0.83-1.4),1.2,0.83,1.4,982.131984,3.49288612007447,2.67639115587686,64.8471558108404,13.4840758430005,0.5,0.152891232683099,0.0635061104770955,0.627252056222746,0.128152755140529,0.0532305409739708,0.525759899778693,5.92453526647007,2.46086178098745,24.3060171786314,75.5051283236041,31.3624067041494,309.76757898544,81.7107075778978,33.9400051365879,335.226608120072,6.00981201309326,3211.86495381226,3831.88009857073,82.8868375177358,6.5037435589191
Africa,GHA,Ghana,AFR,2020,0,both,843756,MCV1,2018,92,776255.52,21 (9.7-29),20.1340206185567,9.3,27.8041237113402,15629.1446449485,3.49288612007447,2.67639115587686,64.8471558108404,13.4840758430005,0.5,0.0493090821696683,0.0202464443427549,0.217197661177393,0.0413306546268187,0.0169704801170737,0.18205411913746,1.91072693407465,0.784549718281751,8.41640937062396,24.3512234900799,9.99867913528442,107.262770997323,26.3525901609511,10.820445778026,116.078432148262,296.539060287659,158481.398935493,189074.487037123,4089.84255317402,320.910870275479
Africa,GHA,Ghana,AFR,2020,1,both,841542,MCV2,2018,83,698479.86,,0.865979381443299,0.4,1.19587628865979,604.869157113402,3.49288612007447,2.67639115587686,64.8471558108404,13.4840758430005,0.5,0.0443686388350558,0.0182178847630291,0.195435894576972,0.0371895968706911,0.0152701504477629,0.163813502604859,1.71928475485841,0.705943034567376,7.57314091485766,21.9113922361283,8.99687773247446,96.5157520160663,23.7122352266925,9.73630880225263,104.448142328106,12.7543681844154,6816.40425529004,8132.23600159668,175.90720658813,13.8026180763647
Africa,GHA,Ghana,AFR,2020,0,both,843756,MenA,2018,83,700317.48,0.15 (0.09-0.26),0.15,0.09,0.26,105.047622,3.49288612007447,2.67639115587686,64.8471558108404,13.4840758430005,0.5,0.0444853676095921,0.0182658139179201,0.1959500638883,0.0372874384133255,0.0153103244534469,0.164244477047926,1.72380799487169,0.707800289319405,7.59306497567162,21.9690385834417,9.02054748074572,96.7696738345418,23.7746193843363,9.7619239084365,104.72293335115,2.20923877480053,1180.69859421988,1408.61945027657,30.4696411411582,2.3908106310846
Africa,GHA,Ghana,AFR,2020,0,both,843756,PCV3,2018,96,810005.76,1.3 (0.71-1.9),1.3,0.71,1.9,1053.007488,3.49288612007447,2.67639115587686,64.8471558108404,13.4840758430005,0.5,0.151315034408015,0.0628514083072285,0.620785540179213,0.1268315927164,0.0526817725103216,0.520339694626336,5.86345758331058,2.43549207190511,24.0554396819445,74.7267249388247,31.0390829236942,306.574098789713,80.8683291492597,33.5901081764169,331.770663706463,6.51062968085103,3479.52036662995,4151.20344011829,89.7940739775471,7.04572218882903
Africa,GHA,Ghana,AFR,2020,0,both,843756,RCV1,2018,92,776255.52,0.17 (0.03-0.57),0.17,0.03,0.57,131.9634384,3.49288612007447,2.67639115587686,64.8471558108404,13.4840758430005,0.5,0.0493090821696683,0.0202464443427549,0.217197661177393,0.0413306546268187,0.0169704801170737,0.18205411913746,1.91072693407465,0.784549718281751,8.41640937062396,24.3512234900799,9.99867913528442,107.262770997323,26.3525901609511,10.820445778026,116.078432148262,2.50380394477393,1338.1250734492,1596.43537698011,34.5322599599793,2.70958538189588
