Continent,ISO_code,Country,WHO_Region,pop_year,age,gender,population,Vaccine,vac_year,Percent_covrage,vac_population,deaths_averted_1000FVP,mid,low,high,vac_deaths_averted,suspension_period,covid_deaths,benefit_risk_ratio
Africa,CIV,Côte d'Ivoire,AFR,2020,0,both,870441,PCV3,2018,94,818214.54,1.9 (1.1-2.8),1.9,1.1,2.8,1554.607626,0.5,106.762333750728,7.28069334653993
Africa,CIV,Côte d'Ivoire,AFR,2020,0,both,870441,RCV1,2018,90,783396.9,,,,,,0.5,38.2763502753999,
Africa,CIV,Côte d'Ivoire,AFR,2020,0,both,870441,RotaC,2018,72,626717.52,0.85 (0.51-1.3),0.85,0.51,1.3,532.709892,0.5,57.7465308273157,4.6124839394509
Africa,CIV,Côte d'Ivoire,AFR,2020,0,both,870441,YFV,2018,88,765988.08,12 (4.3-26),12,4.3,26,9191.85696,0.5,37.4257647137244,122.801190975121
Africa,CMR,Cameroon,AFR,2020,0,both,853762,HepB3,2018,79,674471.98,0.1 (0.01-0.33),0.1,0.01,0.33,67.447198,0.5,88.0065057683701,0.383194386659996
Africa,CMR,Cameroon,AFR,2020,0,both,853762,Hib3,2018,79,674471.98,3.5 (1.6-5),3.5,1.6,5,2360.65193,0.5,88.0065057683701,13.4118035330999
Africa,CMR,Cameroon,AFR,2020,0,both,853762,MCV1,2018,71,606171.02,11 (5.2-15),11,5.2,15,6667.88122,0.5,29.6171893050847,112.567758393861
Africa,CMR,Cameroon,AFR,2020,0,both,853762,PCV3,2018,79,674471.98,3.3 (1.8-5.6),3.3,1.8,5.6,2225.757534,0.5,88.0065057683701,12.6454147597799
Africa,CMR,Cameroon,AFR,2020,0,both,853762,RCV1,2018,71,606171.02,,,,,,0.5,29.6171893050847,
Africa,CMR,Cameroon,AFR,2020,0,both,853762,RotaC,2018,78,665934.36,1.4 (0.98-1.8),1.4,0.98,1.8,932.308104,0.5,61.3600191817021,7.59703237086031
Africa,CMR,Cameroon,AFR,2020,0,both,853762,YFV,2018,74,631783.88,2.1 (0.65-4.7),2.1,0.65,4.7,1326.746148,0.5,30.8686198391023,21.4902084206461
Africa,COD,Democratic Republic of the Congo (the),AFR,2020,0,both,3339168,HepB3,2018,94,3138817.92,0.09 (0.02-0.2),0.09,0.02,0.2,282.4936128,0.5,409.55948589939,0.344874947993997
Africa,COD,Democratic Republic of the Congo (the),AFR,2020,0,both,3339168,Hib3,2018,94,3138817.92,3.5 (2-4.6),3.5,2,4.6,10985.86272,0.5,409.55948589939,13.4118035330999
Africa,COD,Democratic Republic of the Congo (the),AFR,2020,0,both,3339168,MCV1,2018,92,3072034.56,14 (9.5-17),14,9.5,17,43008.48384,0.5,150.097952744891,143.268056137641
Africa,COD,Democratic Republic of the Congo (the),AFR,2020,0,both,3339168,PCV3,2018,94,3138817.92,3.2 (1.8-5),3.2,1.8,5,10044.217344,0.5,409.55948589939,12.2622203731199
Africa,COD,Democratic Republic of the Congo (the),AFR,2020,0,both,3339168,YFV,2018,92,3072034.56,1.1 (0.26-2.9),1.1,0.26,2.9,3379.238016,0.5,150.097952744891,11.2567758393861
Africa,COG,Congo (the),AFR,2020,0,both,166656,HepB3,2018,83,138324.48,0.21 (0.03-0.71),0.21,0.03,0.71,29.0481408,0.5,18.0488656430572,0.804708211985992
Africa,COG,Congo (the),AFR,2020,0,both,166656,Hib3,2018,83,138324.48,2.1 (0.62-3.4),2.1,0.62,3.4,290.481408,0.5,18.0488656430572,8.04708211985992
Africa,COG,Congo (the),AFR,2020,0,both,166656,MCV1,2018,83,138324.48,25 (16-36),25,16,36,3458.112,0.5,6.75845953455082,255.835814531501
Africa,COG,Congo (the),AFR,2020,0,both,166656,MenA,2018,83,138324.48,,,,,,0.5,6.75845953455082,
Africa,COG,Congo (the),AFR,2020,0,both,166656,PCV3,2018,83,138324.48,1.9 (0.69-3.8),1.9,0.69,3.8,262.816512,0.5,18.0488656430572,7.28069334653993
Africa,COG,Congo (the),AFR,2020,0,both,166656,RotaC,2018,83,138324.48,0.77 (0.37-1.4),0.77,0.37,1.4,106.5098496,0.5,12.7453894196103,4.17836780397317
